ID	Phrase	Translation
1	You are the illegitimate and unacknowledged child_	Вы незаконорожденный и отвергнутый ребенок_
1	You are the illegitimate but acknowledged child_	Вы незаконорожденный, но принятый ребенок_
1	You are one of several children_	Вы один из нескольких детей_
1	You are the first child_	Вы единственный ребенок_
2	of a Serf. _	крестьянина. _
2	of a Yeoman. _	воина. _
2	of a Townsman. _	горожанина. _
2	of a Guildsman. _	купца. _
2	of a Landed Knight. _	рыцаря. _
2	of a Titled Noble. _	аристократа. _
2	of a Royal Blood Line. _	короля. _
3	You are the black sheep of the family. _	Вы были не нужны своей семье. _
3	You are a credit to the family. _	Вы были подарком своей семье. _
3	You are a well liked child. _	Вы были любимым ребенком. _
4	Your mother was of the Avari._	Ваша мать была из Авари._
4	Your father was of the Avari._	Ваш отец был из Авари._
4	Your mother was of the Nandor._	Ваша мать была из Нандор._
4	Your father was of the Nandor. _	Ваш отец был из Нандор. _
4	Your mother was of the Sindar. _	Ваша мать была из Синдар. _
4	Your father was of the Sindar. _	Ваш отец был из Синдар. _
4	Your mother was of the Noldor. _	Ваша мать была из Нолдор. _
4	Your father was of the Noldor. _	Ваш отец был из Нолдор. _
5	You are one of several children_	Вы один из нескольких детей_
5	You are the only child_	Вы единственный ребенок_
6	of an Avarin_	Аваринского_
6	of a Nandorin_	Нандорского_
6	of a Sindarin_	Синдарского_
7	You are one of several children_	Вы один из нескольких детей_
7	You are the only child_	Вы единственный ребенок_
8	of a Telerin_	Телеринского_
8	of a Noldorin_	Нолдорского_
8	of a Vanyarin_	Ваньярского_
9	Ranger. _	следопыта. _
9	Archer. _	лучника. _
9	Warrior. _	воина. _
9	Mage. _	мага. _
9	Prince. _	принца. _
9	King. _	короля. _
10	You are one of several children of a Hobbit_	Вы один из нескольких детей хоббита-
10	You are the only child of a Hobbit_	Вы единственный ребенок хоббита-
11	Burglar. _	вора. _
11	Miller. _	мельника. _
11	Tavern Owner. _	владельца таверны. _
11	Archer. _	лучника. _
11	Warrior. _	воина. _
11	Shirriff. _	ширрифа. _
11	Mayor. _	мэра. _
11	Clan Elder. _	старшего клана. _
13	You are one of several children of a Gnome_	Вы один из нескольких детей карлика-
13	You are the only child of a Gnome_	Вы единственный ребенок карлика-
14	Beggar. _	попрошайки. _
14	Braggart. _	вора. _
14	Prankster. _	торговца. _
14	Warrior. _	воина. _
14	Mage. _	мага. _
16	You are one of two children of a Dwarven_	Вы один из нескольких детей гнома-
16	You are the only child of a Dwarven_	Вы единственный ребенок гнома-
17	Thief. _	вора. _
17	Prison Guard. _	тюремщика. _
17	Miner. _	шахтера. _
17	Warrior. _	воина. _
17	Priest. _	священника. _
17	King. _	короля. _
18	You are the black sheep of the family. _	Вы были не нужны своей семье. _
18	You are a credit to the family. _	Вы были подарком своей семье. _
18	You are a well liked child. _	Вы были любимым ребенком. _
19	Your mother was an Orc,_	Ваша мать была орком,_
19	Your father was an Orc,_	Ваш отец был орком,_
20	and it is acknowledged. You are the adopted child_	и это подтверждено. Вас приняли в семью_
20	but it is unacknowledged. You are the adopted child_	но это не подтверждено. Вас приняли в семью_
21	Your mother was a Stone-Troll_	Ваша мать была каменным троллем-
21	Your father was a Stone-Troll_	Ваш отец был каменным троллем-
21	Your mother was a Cave-Troll_	Ваша мать была пещерным троллем-
21	Your father was a Cave-Troll_	Ваш отец был пещерным троллем-
21	Your mother was a Water-Troll_	Ваша мать была водяным троллем-
21	Your father was a Water-Troll_	Ваш отец был водяным троллем-
22	Cook. _	поваром. _
22	Warrior. _	воином. _
22	Shaman. _	шаманом. _
22	Clan Chief. _	старшим клана. _
23	You are the runt of_	Вы были самым маленьким из_
23	You come from_	Вы были одним из_
23	You are the largest of_	Вы были самым большим из_
24	a litter of 3 pups._	трех щенков._
24	a litter of 4 pups._	четырех щенков._
24	a litter of 5 pups._	пяти щенков._
24	a litter of 6 pups._	шести щенков._
24	a litter of 7 pups._	семи щенков._
24	a litter of 8 pups._	восьми щенков._
25	Your father was a fungus farmer,_	Ваш отец был фермером,_
25	Your father was a hunter,_	Ваш отец был охотником,_
25	Your father was a warrior,_	Ваш отец был воином,_
25	Your father was a shaman,_	Ваш отец был шаманом,_
25	Your father was the tribal chief,_	Ваш отец был вождем племени,_
26	and your mother was a prisoner of war._	а мать - пленницей племени._
26	and your mother was a cook._	а мать - поварихой._
26	and your mother was one of the Chief's harem._	а мать была из гарема вождя._
50	You have dark brown eyes,_	У вас темно-карие глаза,_
50	You have brown eyes,_	У вас карие глаза,_
50	You have hazel eyes,_	У вас светло-карие глаза,_
50	You have green eyes,_	У вас зеленые глаза,_
50	You have blue eyes,_	У вас голубые глаза,_
50	You have blue-gray eyes,_	У вас серо-голубые глаза,_
51	straight_	прямые_
51	wavy_	волнистые_
51	curly_	кудрявые_
52	black hair,_	черные волосы_
52	brown hair,_	темные волосы_
52	auburn hair,_	русые волосы_
52	red hair,_	рыжие волосы_
52	blond hair,_	светлые волосы_
53	and a very dark complexion.	и очень неприятное лицо.
53	and a dark complexion.	и неприятное лицо.
53	and an average complexion.	и обычное лицо.
53	and a fair complexion.	и красивое лицо.
53	and a very fair complexion.	и очень красивое лицо.
54	You have light grey eyes,_	У вас светло-серые глаза,_
54	You have light blue eyes,_	У вас светло-голубые глаза,_
54	You have light green eyes,_	У вас светло-зеленые глаза,_
55	straight_	прямые_
55	wavy_	волнистые_
56	black hair, and a fair complexion.	черные волосы и красивое лицо.
56	brown hair, and a fair complexion.	темные волосы и красивое лицо.
56	blond hair, and a fair complexion.	светлые волосы и красивое лицо.
56	silver hair, and a fair complexion.	серебряные волосы и красивое лицо.
57	You have dark brown eyes,_	У вас темно-карие глаза,_
57	You have glowing red eyes,_	У вас горящие красные глаза,_
58	straight_	прямые_
58	wavy_	волнистые_
59	black hair,_	черные волосы,_
59	brown hair,_	темные волосы,_
60	a one foot beard,_	борода длиною в фут_
60	a two foot beard,_	борода длиною в два фута_
60	a three foot beard,_	борода длиною в три фута_
60	a four foot beard,_	борода длиною в четыре фута_
61	and a dark complexion.	и неприятное лицо.
62	You have slime-green eyes,_	У вас слизисто-зеленые глаза,_
62	You have puke-yellow eyes,_	У вас маслянисто-желтые глаза,_
62	You have blue-bloodshot eyes,_	У вас кровавые синие глаза,_
62	You have glowing red eyes,_	У вас горящие красные глаза,_
63	dirty_	грязные_
63	mangy_	спутанные_
63	oily_	жирные_
64	sea-weed green hair,_	зеленые волосы_
64	bright red hair,_	красные волосы_
64	dark purple hair,_	темно-пурпурные волосы_
65	and green_	и зеленая_
65	and blue_	и синяя_
65	and white_	и белая_
65	and black_	и черная_
66	ulcerous skin.	обветревшая кожа.
66	scabby skin.	потрескавшаяся кожа.
66	leprous skin.	неровная кожа.
67	You have black eyes,_	У вас черные глаза,_
67	You have dark brown eyes,_	У вас темно-карие глаза,_
67	You have brown eyes,_	У вас карие глаза,_
67	You have light brown eyes,_	У вас светло-карие глаза,_
67	You have glowing red eyes,_	У вас горящие красные глаза,_
68	a dark brown hide,_	темно-коричневая шерсть_
68	a reddish-brown hide,_	красно-коричневая шерсть_
68	an olive green hide,_	зеленая шерсть_
68	a deep blue hide,_	синяя шерсть_
69	and large, flat teeth.	и большие плоские зубы.
69	and small, sharp teeth.	и маленькие острые зубы.
69	and large, sharp teeth.	и большие острые зубы.
