ID	Name	Name Translation	Description	Description Translation
0	<player>	<player>		
1	Filthy street urchin	грязн$AMT попрошайк$N1T	He looks squalid and thoroughly revolting.	Он выглядит жалким и вместе с тем опасным.
2	Scrawny cat	жалк$AFM кошк$N1T	A skinny little furball with sharp claws and a menacing look.	Маленький комочек шерсти с острыми когтями.
3	Scruffy little dog	жалк$AFM маленьк$AFM собак$N1T	A thin flea-ridden mutt, growling as you get close.	Тощая блохастая дворняга, подозрительно рычащая на вас.
4	Farmer Maggot	Фермер$N2A Мэггот$N2A	He`s lost his dogs.  He`s had his mushrooms stolen.  He`s not a happy hobbit!	Он потерял собак. У него украли грибы. Ну неужели вам его не жалко?
5	Blubbering idiot	бормочущ$AMO идиот$N2A	He tends to blubber a lot.	Он что-то бормочет про себя, пристально глядя вам в глаза.
6	Boil-covered wretch	бедн$AMT крестьянин$N2A	Ugly doesn`t begin to describe him.	Он ходит в рваной одежде и стоптанных башмаках.
7	Village idiot	деревенск$AMM идиот$N2A	Drooling and comical, but then, what do you expect?	Смешной и трогательный рослый верзила.
8	Pitiful-looking beggar	жалк$AMM бродяг$N1T	You just can`t help feeling sorry for him.	Вам его очень жаль. Но денег у вас нет.
9	Mangy-looking leper	стар$AMT калек$N1T	You feel it isn`t safe to touch him.	Безногий и беззубый старик, просящий подаяния.
10	Squint-eyed rogue	глазаст$AMT воришк$N1T	A hardy, street-wise crook that knows an easy catch when it sees one.	Наглый парень, типичный для больших рынков.
11	Singing, happy drunk	поющ$AMO счастлив$AMT пьян$AMT	He makes you glad to be sober.	При взгляде на него вы радуетесь, что не пьете.
12	Aimless-looking merchant	безобидн$AMT горожанин$N2A	The typical ponce around town, with purse jingling, and looking for more amulets of adornment to buy.	Простой городской парень, с бренчащим кошельком, весело посматривающий по сторонам.
13	Mean-looking mercenary	подл$AMT наемник$N2A	No job is too low for him.	Он с легкостью переступит через все ради выгодного заказа.
14	Battle-scarred veteran	стар$AMT ветеран$N2A	He doesn`t take to strangers kindly.	Он не любит чужих.
15	Grey mold	сер$AFT плесен$N3	A small strange grey growth.	Странный маленький серый нарост на полу.
16	Grey mushroom patch	сер$AMT гриб$N2A	Yum!  It looks quite tasty.	Ням-ням! Выглядит очень вкусно. (Но есть его все же не стоит!)
17	Giant yellow centipede	желт$AFM многоножк$N1M	It is about four feet long and carnivorous.	Хищная многоножка, примерно четырех футов длиной.
18	Giant white centipede	бел$AFM многоножк$N1M	It is about four feet long and carnivorous.	Хищная многоножка, примерно четырех футов длиной.
19	White icky thing	бел$ANT существ*о$N2D	It is a smallish, slimy, icky creature.	Маленькое, склизкое, противное существо, похожее на амебу-переростка.
20	Clear icky thing	прозрачн$ANT существ*о$N2D	It is a smallish, slimy, icky, blobby creature.	Маленькое, склизкое, противное, прозрачное существо.
21	Giant white mouse	бел$AFT мыш$N3	It is about three feet long with large teeth.	Гигантский грызун около трех футов длиной, и с довольно острыми зубками.
22	Large brown snake	коричнев$AFT зме$N1N	It is about eight feet long.	Она около восьми футов в длину, но, к счастью, не ядовита.
23	Large white snake	бел$AFT зме$N1N	It is about eight feet long.	Она около восьми футов в длину. Это пещерная разновидность обычного ужа.
