Name	Translation
Ancient Dragon/Wyrm	Древний Дракон/Змей
Ainu/maia	Ainu/maia
Ant	Муравей
Bat	Летучая мышь
Bird	Птица
Canine (Dog)	Собака
Centipede	Гусеница
Creeping Coins	Creeping Coins
Dragon	Дракон
Dragon Fly	Стрекоза
Floating Eye	Летающий Глаз
Elemental	Элементаль
Feline (Cat)	Кошка
Ghost	Привидение
Giant Humanoid	Гигант
Golem	Голем
Hobbit/Elf/Dwarf	Хоббит/Эльф/Гном
Hybrid	Гибрид
Hydra	Гидра
Icky Thing	Скользкое существо
Insect	Насекомое
Jelly	Желе
Killer Beetle	Жучок
Kobold	Кобольд
Lich	Лич
Louse	Вошь
Lurker	Lurker
Major Demon	Большой Демон
Mimic	Mimic
Minor Demon	Малый Демон
Mold	Плесень
Mushroom	Mushroom
Naga	Нага
Ogre	Огр
Orc	Орк
Person/Human	Человек
Quadruped	Четвероногое
Quylthulg	Квулсхулг
Reptile/Amphibian	Рептилия/Амфибия
Rodent	Крыса
Skeleton	Скелет
Snake	Змея
Spider/Scorpion/Tick	Паук/Скорпион/Клещ
Townsfolk	Горожанин
Troll	Тролль
Vampire	Вампир
Vortex	Вихрь
Worm/Worm Mass	Черви
Wight/Wraith	Умертвие/Призрак
Xorn/Xaren	Хорн/Харен
Yeek	Йик
Yeti	Йети
Zephyr Hound	Гончая Эфира
Zombie/Mummy	Зомби/Мумия
You	Вы
Morgoth	Моргот
