Name	Translation
Rookie	Новобранец
Soldier	Солдат
Swordsman	Меченосец
Swashbuckler	Рубака
Veteran	Ветеран
Myrmidon	Мирмедон
Commando	Командир
Champion	Чемпион
Hero	Герой
Lord	Лорд
Novice	Неофит
Apprentice	Ученик
Trickster	Фокусник
Illusionist	Иллюзионист
Spellbinder	Заклинатель
Evoker	Волшебник
Conjurer	Чародей
Warlock	Боевой маг
Sorcerer	Колдун
Arch-Mage	Архимаг
Believer	Верующий
Acolyte	Аколит
Adept	Адепт
Evangelist	Евангелист
Priest	Священник
Curate	Настоятель
Canon	Епископ
Bishop	Архиепископ
Prophet	Пророк
Patriarch	Патриарх
Vagabond	Бродяга
Cutpurse	Карманник
Footpad	Мошенник
Robber	Грабитель
Burglar	Взломщик
Filcher	Вор
Sharper	Мастер-вор
Rogue	Мафиози
Thief	Авторитет
Master Thief	Король воров
Runner	Бегун
Strider	Бродяжник
Scout	Турист
Courser	Сыщик 
Tracker	Гид
Guide	Исследователь
Explorer	Рейнджер
Pathfinder	Картограф
Ranger	Разведчик
Ranger Lord	Следопыт
Gallant	Галлант
Keeper	Хранитель
Protector	Охранник
Defender	Защитник
Warder	Страж
Knight	Рыцарь
Guardian	Князь
Chevalier	Шевалье
Paladin	Паладин
Paladin Lord	Паладин-лорд
