ID	Name	Name Translation	Message	Message Translation	Description	Description Translation
1	of Galadriel	Галадриэли	The {kind} well{s} with clear light...	{kind} озаряется чистым светом...	A small crystal phial containing the light of Eärendil's Star.  Its light is imperishable, and near it darkness cannot endure.	Маленький хрустальный фиал, содержащий свет Звезды Эарендила внутри. Излучаемый им свет негасим, и тьма возле него отступает. 'Тебя, хранитель, я одариваю последним...'
2	of Elendil	Элендила	The {kind} shine{s} brightly...	{kind} ярко сверкает...	The shining Star of the North, a treasured heirloom of Elendil's house.	Блистающая Звезда Запада, наследство дома Элендила.  'А перед всеми шел Арагорн - и на лбу его горела звезда Элендила.'
3	of Thráin	Трейна	The {kind} form{s} an image in your mind...	{kind} формирует изображение у вас в голове...	A great globe seemingly filled with moonlight, the famed Heart of the Mountain.  It splinters the light that falls upon it into ten thousand sparks of white radiance shot with glints of the rainbow.	Большой шар, кажущийся наполненным лунным светом, знаменитое Сердце Горы, разбивающее падающий на него свет на тысячи ярких лучей. 'Аркенстон, Аркенстон! Словно шар с тысячью граней. Он сиял, как серебро, освещенное пламенем, как вода в солнечный день, как снег под звездами, как капли дождя при свете луны!'
4	of Carlammas	Карлеммаса	The {kind} let{s} out a shrill wail...	{kind} издает протяжный стон...	A fiery circle of bronze, with mighty spells to ward off and banish evil.	Огненно-бронзовый круг с заклинаниями, защищающими от зла.
5	of Ingwë	Ингве	The {kind} flood{s} the area with goodness...	{kind} заполняет подземелье добром...	The ancient heirloom of Ingwë, high lord of the Vanyar, against whom nothing of evil could stand.	Старинный амулет Ингве, правителя Ваньяр, который может победить любое зло в этом мире. '...И самой высокой башней этого города стала башня Ингве, Миндон Эльдалие, чей серебряный светильник был виден далеко за туманами моря. Немногим из кораблей смертных людей довелось увидеть его тонкий луч!'
6	of the Dwarves	'Наугламир'			The Nauglamír, a carcanet of gold set with a multitude of shining gems of Valinor.  The radiant Silmaril of Fëanor hangs in its midst as its crowning glory.  The sturdy spirits of Dwarvish craftsmen who labored long in mountain smithies lie within it still, and as gossamer it rests upon the bearer.	Самая знаменитая из работ гномов, в которую был позже вставлен Сильмарилл. 'Это был золотой обруч с вправленными в него бесчисленными драгоценными камнями из Валинора, но в нем имелся некий секрет, так что носить его было не тяжелее, чем льняную прядь, и какую бы шею он ни охватывал, это выглядело всегда изящно и красиво.'
7	of Westernesse	Вестерноса	The {kind} glow{s} a deep green...	{kind} светится глубоким зеленым...	A great globe with a heart of fire, the Palantír provides the wearer with sight of far places - at a cost, for those espied upon are aware of it.	Блестящий белый шар из неразбиваемого хрусталя. Древние Палантиры использовались королями Нуменора, а позже - Изгнанниками для быстрого сообщения между дальними землями. Ничто не будет скрыто от смотрящего в Палантир, но наблюдаемый будет знать о наблюдателе, как знал Саурон, когда Саруман пытался шпионить за ним с помощью этого Палантира. 'Эти камни были подарены Амандилу, отцу Элендила, как утешение Верным Нуменора в недобрые для них дни. Такие камни назывались Палантиры - Видящие далеко.'
8	of Barahir	Бараира			Twinned serpents with eyes of emerald meet beneath a crown of flowers to form this ring, an ancient treasure of Isildur's house.	Одно из стариннейших сокровищ дома Исилдура. '...Слова его звучали гордо, и все взгляды обратились на кольцо; в нем сверкнули зеленые камни, творение Нолдор в Валиноре. Это кольцо формой было подобно двум змеям с изумрудными глазами, и головы их встречались под короной из золотых цветов, которую одна поддерживала, а другая пожирала. То был знак Финарфина и его рода.'
9	of Tulkas	Тулкаса	The {kind} glow{s} brightly...	{kind} ярко светится...	The treasure of Tulkas, most fleet and wrathful of the Valar.	Сокровище Тулкаса, самого доблестного и яростного из Валар. 'Волосы и борода Тулкаса золотые, а лицо красное. Оружием ему служат собственные руки.  Его мало интересуют и прошлое, и будущее. От него, как от советчика, мало пользы, но он - надежный друг.'
10	'Narya'	Власти 'Нарья'	{name} glows deep red...	{name} светится глубоким красным...	The Ring of Fire, made of gold and set with a ruby that glows like flame.  Narya is one of the three Rings of Power created by Celebrimbor and hidden by the Elves from Sauron.	Кольцо Огня, с рубином, горящим ярче пламени. Нарья - одно из Трех Колец, созданных эльфами и скрытых ими от Саурона.
11	'Nenya'	Власти 'Нэнья'	{name} glows bright white...	{name} светится ярко-белым...	The Ring of Adamant, made of mithril with a pure white stone as centerpiece.  Nenya is one of the three Rings of Power created by Celebrimbor and hidden by the Elves from Sauron.	Кольцо Адаманта, украшенное чистым белым камнем. Нэнья - одно из Трех Колец, созданных эльфами и скрытых ими от Саурона.
12	'Vilya'	Власти 'Вилья'	{name} glows deep blue...	{name} светится глубоким синим...	The Ring of Sapphire, made of gold with a brilliant blue gem that shines like stars.  It glitters untouchable despite all that Morgoth ever wrought.  Vilya is one of the three Rings of Power created by Celebrimbor and hidden by the Elves from Sauron.	Кольцо Сапфира, камень которого сверкает ярче звезд, как вызов всей злобе Моргота. Вилья - одно из Трех Колец, созданных эльфами и скрытых ими от Саурона.
13	'The One Ring'	Всевластья	{name} glows intensely black...	{name} светится черным...	"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them."  Made of massive gold, and inscribed with hidden runes in the foul speech of Mordor, Isildur's Bane possesses powers so great that it inevitably twists and masters any mortal being who wears it.	'Одно Кольцо покорит их, Одно Кольцо соберет их, Одно Кольцо найдет их и в черную цепь скует их.' Сделанное из массивного золота и исписанное рунами на злом языке Мордора, Проклятье Исилдура обладает силами настолько великими, что оно неизбежно порабощает любое существо, владеющее им.
14	'Elessar'	'Элессар'	You feel a warm tingling inside...	Вы чувствуете теплое покалывание...	A green stone, imbued with the power of Elvendom and the light of the Sun.  Those who gaze through it see the aged and infirm as young again, and its wearer brings healing after victory in battle.	Зеленый берилл, выточенный эльфами, подаренный настояму Королю Людей для исцеления после победы в битве. '...Этот камень я [Галадриэль] дала своей дочери Келебрайне, а та - своей, но теперь он переходит к тебе как символ надежды. И в этот час прими имя, предсказанное тебе, Элессар - Эльфийский Берилл дома Элендила.'
15	'Evenstar'	'Вечерняя Звезда'	Your {kind} glow{s} a deep red...	Ваш {kind} светится глубоким красным...	A plain white jewel, given by Queen Arwen to Frodo Baggins before his return to the Shire.	Простой белый камень, подаренный Королевой Арвен Фродо Бэггинсу перед его возвращением в Шир.
16	'Razorback'	'Отвратитель Лезвий'	Lightning surrounds your {kind}!	Молния обволакивает ваш {kind}!	A massive suit of heavy dragon scales deeply saturated with many colors.   It throbs with angry energies, and you feel the raw elemental might of untamed Lightning as you put it on.	Тяжелые доспехи из чешуй дракона, глубоко окрашенные всеми цветами. Вы чувствуете в себе дикие и необузданные силы Молнии, надевая их.
17	'Bladeturner'	'Крушитель Клинков'	{name} glow{s} many colors...	{name} светится всеми цветами...	An adamant suit with scales of every color.  Untrammelled powers elemental and ethereal swirl around it in an inextricably intermingled nimbus.	Доспехи из адаманта, с дракониьми чешуями всех цветов, окруженные всесокрушающими силами элементов и эфира.
