File	Status
artifact.txt	✓ (135, 137-139 not translated)
ego_item.txt	✓ (96-99, 128-133 not translated)
flavor.txt	✓
hints.txt	✗
monster_base.txt	✓ ('$', '.', ',' not translated)
monster.txt	✓ (617-618 not translated)
names.txt	✓ (scroll names not translated)
object_base.txt	✗
object.txt	✓ (14, 16-26, 41, 59-60, 102, 107, 112, 133-135, 171-173, 176, 178-181, 185, 198-199, 217-219, 227, 237, 250, 293, 333-337, 350, 363, 405, 410 not translated and 1, 4, 10-15, 22, 30, 34-36, 41, 130, 170-173, 177-178, 181 do not have accurate descriptions)
pain.txt	✓ (5-12 have partial translation)
p_class.txt	✓
p_hist.txt	✓
p_race.txt	✓
spell.txt	✓ (descriptions not translated)
store.txt	✓
terrain.txt	✓
