Phrase	Translation
You are the illegitimate and unacknowledged child 	Вы незаконорожденный и отвергнутый ребенок 
You are the illegitimate but acknowledged child 	Вы незаконорожденный, но принятый ребенок 
You are one of several children 	Вы один из нескольких детей 
You are the first child 	Вы единственный ребенок 
of a Serf.  	крестьянина.  
of a Yeoman.  	воина.  
of a Townsman.  	горожанина.  
of a Guildsman.  	купца.  
of a Landed Knight.  	рыцаря.  
of a Titled Noble.  	аристократа.  
of a Royal Blood Line.  	короля.  
You are the black sheep of the family.  	Вы были не нужны своей семье.  
You are a credit to the family.  	Вы были подарком своей семье.  
You are a well liked child.  	Вы были любимым ребенком.  
Your mother was of the Avari. 	Ваша мать была из Авари. 
Your father was of the Avari. 	Ваш отец был из Авари. 
Your mother was of the Nandor. 	Ваша мать была из Нандор. 
Your father was of the Nandor.  	Ваш отец был из Нандор.  
Your mother was of the Sindar.  	Ваша мать была из Синдар.  
Your father was of the Sindar.  	Ваш отец был из Синдар.  
Your mother was of the Noldor.  	Ваша мать была из Нолдор.  
Your father was of the Noldor.  	Ваш отец был из Нолдор.  
You are one of several children 	Вы один из нескольких детей 
You are the only child 	Вы единственный ребенок 
of an Avarin 	Аваринского 
of a Nandorin 	Нандорского 
of a Sindarin 	Синдарского 
You are one of several children 	Вы один из нескольких детей 
You are the only child 	Вы единственный ребенок 
of a Telerin 	Телеринского 
of a Noldorin 	Нолдорского 
of a Vanyarin 	Ваньярского 
Ranger.  	следопыта.  
Archer.  	лучника.  
Warrior.  	воина.  
Mage.  	мага.  
Prince.  	принца.  
King.  	короля.  
You are one of several children of a Hobbit 	Вы один из нескольких детей хоббита-
You are the only child of a Hobbit 	Вы единственный ребенок хоббита-
Burglar.  	вора.  
Miller.  	мельника.  
Tavern Owner.  	владельца таверны.  
Archer.  	лучника.  
Warrior.  	воина.  
Shirriff.  	ширрифа.  
Mayor.  	мэра.  
Clan Elder.  	старшего клана.  
You are one of several children of a Gnome 	Вы один из нескольких детей карлика-
You are the only child of a Gnome 	Вы единственный ребенок карлика-
Beggar.  	попрошайки.  
Braggart.  	вора.  
Prankster.  	торговца.  
Warrior.  	воина.  
Mage.  	мага.  
You are one of two children of a Dwarven 	Вы один из нескольких детей гнома-
You are the only child of a Dwarven 	Вы единственный ребенок гнома-
Thief.  	вора.  
Prison Guard.  	тюремщика.  
Miner.  	шахтера.  
Warrior.  	воина.  
Priest.  	священника.  
King.  	короля.  
You are the black sheep of the family.  	Вы были не нужны своей семье.  
You are a credit to the family.  	Вы были подарком своей семье.  
You are a well liked child.  	Вы были любимым ребенком.  
Your mother was an Orc, 	Ваша мать была орком, 
Your father was an Orc, 	Ваш отец был орком, 
and it is acknowledged. You are the adopted child 	и это подтверждено. Вас приняли в семью 
but it is unacknowledged. You are the adopted child 	но это не подтверждено. Вас приняли в семью 
Your mother was a Stone-Troll 	Ваша мать была каменным троллем-
Your father was a Stone-Troll 	Ваш отец был каменным троллем-
Your mother was a Cave-Troll 	Ваша мать была пещерным троллем-
Your father was a Cave-Troll 	Ваш отец был пещерным троллем-
Your mother was a Water-Troll 	Ваша мать была водяным троллем-
Your father was a Water-Troll 	Ваш отец был водяным троллем-
Cook.  	поваром.  
Warrior.  	воином.  
Shaman.  	шаманом.  
Clan Chief.  	старшим клана.  
You are the runt of 	Вы были самым маленьким из 
You come from 	Вы были одним из 
You are the largest of 	Вы были самым большим из 
a litter of 3 pups. 	трех щенков. 
a litter of 4 pups. 	четырех щенков. 
a litter of 5 pups. 	пяти щенков. 
a litter of 6 pups. 	шести щенков. 
a litter of 7 pups. 	семи щенков. 
a litter of 8 pups. 	восьми щенков. 
Your father was a fungus farmer, 	Ваш отец был фермером, 
Your father was a hunter, 	Ваш отец был охотником, 
Your father was a warrior, 	Ваш отец был воином, 
Your father was a shaman, 	Ваш отец был шаманом, 
Your father was the tribal chief, 	Ваш отец был вождем племени, 
and your mother was a prisoner of war. 	а мать - пленницей племени. 
and your mother was a cook. 	а мать - поварихой. 
and your mother was one of the Chief`s harem. 	а мать была из гарема вождя. 
You have dark brown eyes, 	У вас темно-карие глаза, 
You have brown eyes, 	У вас карие глаза, 
You have hazel eyes, 	У вас светло-карие глаза, 
You have green eyes, 	У вас зеленые глаза, 
You have blue eyes, 	У вас голубые глаза, 
You have blue-gray eyes, 	У вас серо-голубые глаза, 
straight 	прямые 
wavy 	волнистые 
curly 	кудрявые 
black hair, 	черные волосы 
brown hair, 	темные волосы 
auburn hair, 	русые волосы 
red hair, 	рыжие волосы 
blond hair, 	светлые волосы 
and a very dark complexion.	и очень неприятное лицо.
and a dark complexion.	и неприятное лицо.
and an average complexion.	и обычное лицо.
and a fair complexion.	и красивое лицо.
and a very fair complexion.	и очень красивое лицо.
