Name	Translation
Bilbo the Friendly (Hobbit)	Бильбо Щедрый (Хоббит)
Rincewind the Chicken (Human)	Ринсвид Трусливый (Человек)
Snafu the Midget (Gnome)	Снафу Карлик (Карлик)
Lyar-el the Comely (Elf)	Лиар-Эль Уступчивый (Эльф)
Kon-Dar the Ugly (Half-Orc)	Кон-Дар Уродливый (Полуорк)
Darg-Low the Grim (Human)	Дарг-Лоу Угрюмый (Человек)
Decado the Handsome (Dunadan)	Декадо Красивый (Дунадан)
Mauglin the Grumpy (Dwarf)	Мауглин Ворчливый (Гном)
Ithyl-Mak the Beastly (Half-Troll)	Итил-Мак Звериный (Полутролль)
Arndal Beast-Slayer (Half-Elf)	Арндал Победитель Зверей (Полуэльф)
Tarl Beast-Master (Hobbit)	Тарл Повелитель Зверей (Хоббит)
Oglign Dragon-Slayer (Dwarf)	Оглигн Победитель Драконов (Гном)
Ludwig the Humble (Human)	Людвиг Скромный (Человек)
Gunnar the Paladin (Human)	Гуннар Паладин (Человек)
Delilah the Pure (Elf)	Делайла Чистый (Эльф)
Bosk the Wise (Dwarf)	Боск Мудрый (Гном)
Mauser the Chemist (Half-Elf)	Маузер Химик (Полуэльф)
Wizzle the Chaotic (Hobbit)	Виззле Хаотический (Хоббит)
Ga-nat the Greedy (Gnome)	Га-Нат Жадный (Карлик)
Vella the Slender (Human)	Велла Веселый (Человек)
Ariel the Sorceress (Half-Elf)	Ариэль Колдунья (Полуэльф)
Buggerby the Great (Gnome)	Баггерби Великий (Карлик)
Inglorian the Mage (Human)	Инглориан Маг (Человек)
Luthien Starshine (High-Elf)	Лучиэнь Звездный Свет (Высший Эльф)
Lo-Hak the Awful (Half-Troll)	Ло-Хак Ужасный (Полутролль)
Histor the Goblin (Kobold)	Хистор Гоблин (Кобольд)
Durwin the Shifty (Half-Orc)	Дарвин Упрямый (Полуорк)
Drago the Fair (Elf)	Драго Честный (Эльф)
Your home	Ваш дом
