Text	Occurrence
"It was a good hit!"	"src/attack.c:149 src/attack.c:350"
"It was a great hit!"	"src/attack.c:150 src/attack.c:351"
"It was a superb hit!"	"src/attack.c:151 src/attack.c:352"
"It was a *GREAT* hit!"	"src/attack.c:152"
"It was a *SUPERB* hit!"	"src/attack.c:153"
"punch"	"src/attack.c:186 src/monster/list-blow-methods.h:13"
"You are too afraid to attack %s!"	"src/attack.c:201 src/cmd-cave.c:1256"
"You miss %s."	"src/attack.c:213"
"hit"	"src/attack.c:221 src/main-stats.c:1207 src/main-stats.c:1521 src/monster/list-blow-methods.h:11 src/z-msg-list.h:10"
"fail to harm"	"src/attack.c:260"
" (%d)"	"src/attack.c:270 src/attack.c:501 src/monster/mon-lore.c:915"
"You %s %s%s. %s"	"src/attack.c:273"
"You %s %s%s."	"src/attack.c:276"
"Your hands stop glowing."	"src/attack.c:282"
"Target out of range by %d squares. Fire anyway? "	"src/attack.c:399"
" is destroyed."	"src/attack.c:467 src/borg/borg9.c:686"
" dies."	"src/attack.c:467 src/borg/borg9.c:685"
"fails to harm"	"src/attack.c:486"
"The %s finds a mark."	"src/attack.c:491"
"Your %s %s %s%s. %s"	"src/attack.c:506"
"Your %s %s %s%s."	"src/attack.c:509"
"hits"	"src/attack.c:553 src/attack.c:596"
"You have nothing to fire with."	"src/attack.c:646 src/attack.c:732 src/player/p-util.c:169"
"That item is not within your reach."	"src/attack.c:652 src/attack.c:689 src/cmd-obj.c:1025"
"That ammo cannot be fired by your current weapon."	"src/attack.c:658"
"You have cannot throw wielded items."	"src/attack.c:683"
"Throw which item? "	"src/attack.c:705"
"You have nothing to throw."	"src/attack.c:706"
"You cannot throw wielded items."	"src/attack.c:710"
"You have no ammunition in the quiver to fire."	"src/attack.c:745"
"Sorry, could not deal with suffix"	"src/birth.c:935"
"Began the quest to destroy Morgoth."	"src/birth.c:1086"
"plain gold ring"	"src/borg/borg1.c:860"
"Best Combo"	"src/borg/borg1.c:1536"
"Taking off "	"src/borg/borg1.c:1537"
"# Anti-loop variable tick (%d)."	"src/borg/borg1.c:1541"
"# Aborting (%s)."	"src/borg/borg1.c:1659"
"& Key <%c> (0x%02X)"	"src/borg/borg1.c:1683"
"& Key <0x%02X>"	"src/borg/borg1.c:1685"
"overflow"	"src/borg/borg1.c:1695"
"No object (%s,%d,%d)"	"src/borg/borg1.c:2696"
"BBQ "	"src/borg/borg3.c:52"
"Boiled "	"src/borg/borg3.c:52"
"Fresh "	"src/borg/borg3.c:52"
"Frozen "	"src/borg/borg3.c:52"
"Burned "	"src/borg/borg3.c:52"
"Rotten "	"src/borg/borg3.c:52"
"Raw "	"src/borg/borg3.c:52"
"Toasted "	"src/borg/borg3.c:52"
"Broiled "	"src/borg/borg3.c:52"
"Baked "	"src/borg/borg3.c:52"
"Fried "	"src/borg/borg3.c:52"
"Buttered "	"src/borg/borg3.c:52"
"Steamed "	"src/borg/borg3.c:52"
"Gramma's "	"src/borg/borg3.c:52"
"Pizza"	"src/borg/borg3.c:58"
"Eggs"	"src/borg/borg3.c:58"
"Spam"	"src/borg/borg3.c:58"
"Oatmeal"	"src/borg/borg3.c:58"
"Chicken"	"src/borg/borg3.c:58"
"Bacon"	"src/borg/borg3.c:58"
"Peanutbutter"	"src/borg/borg3.c:58"
"Roast Beef"	"src/borg/borg3.c:58"
"Cheese"	"src/borg/borg3.c:58"
"Toast"	"src/borg/borg3.c:58"
"Hamburger"	"src/borg/borg3.c:58"
"Carrots"	"src/borg/borg3.c:58"
"Corn"	"src/borg/borg3.c:58"
"Potato"	"src/borg/borg3.c:58"
"Pork Chops"	"src/borg/borg3.c:58"
"Chinese Takeout"	"src/borg/borg3.c:58"
"Cookies"	"src/borg/borg3.c:58"
"Magic Missile"	"src/borg/borg3.c:853"
"Detect Monsters"	"src/borg/borg3.c:854 src/borg/borg3.c:1042 src/tests/parse/s-info.c:26"
"Phase Door"	"src/borg/borg3.c:855"
"Light Area"	"src/borg/borg3.c:856"
"Treasure Detection"	"src/borg/borg3.c:857"
"Cure Light Wounds"	"src/borg/borg3.c:858 src/borg/borg3.c:978"
"Find Traps, Doors & Stairs"	"src/borg/borg3.c:859 src/borg/borg3.c:982"
"Stinking Cloud"	"src/borg/borg3.c:860"
"(Blank)"	"src/borg/borg3.c:861"
"Confusion"	"src/borg/borg3.c:867"
"Lightning Bolt"	"src/borg/borg3.c:868"
"Trap/Door Destruction"	"src/borg/borg3.c:869"
"Cure Poison"	"src/borg/borg3.c:870"
"Sleep Monster"	"src/borg/borg3.c:871"
"Teleport Self"	"src/borg/borg3.c:872 src/borg/borg3.c:1030"
"Spear of Light"	"src/borg/borg3.c:873"
"Frost Bolt"	"src/borg/borg3.c:874"
"Wonder"	"src/borg/borg3.c:875"
"Satisfy Hunger"	"src/borg/borg3.c:880 src/borg/borg3.c:995"
"Lesser Recharging"	"src/borg/borg3.c:881"
"Turn Stone to Mud"	"src/borg/borg3.c:882"
"Fire Bolt"	"src/borg/borg3.c:883"
"PolyMorph Other"	"src/borg/borg3.c:884"
"Identify"	"src/borg/borg3.c:885"
"Reveal Monsters"	"src/borg/borg3.c:886"
"Acid Bolt"	"src/borg/borg3.c:887"
"Slow Monster"	"src/borg/borg3.c:888"
"Frost Ball"	"src/borg/borg3.c:893"
"Teleport Other"	"src/borg/borg3.c:894 src/borg/borg3.c:1031"
"Haste Self"	"src/borg/borg3.c:895"
"Mass Sleep"	"src/borg/borg3.c:896"
"Fire Ball"	"src/borg/borg3.c:897"
"Detect Enchantment"	"src/borg/borg3.c:898"
"0x3x6"	"src/borg/borg3.c:899"
"0x3x7"	"src/borg/borg3.c:900"
"0x3x8"	"src/borg/borg3.c:901"
"Resist Cold"	"src/borg/borg3.c:906"
"Resist Fire"	"src/borg/borg3.c:907"
"Resist Poison"	"src/borg/borg3.c:908"
"Resistance"	"src/borg/borg3.c:909"
"Shield"	"src/borg/borg3.c:910 src/ui-knowledge.c:59 src/xtra3.c:667"
"(blank)"	"src/borg/borg3.c:911 src/borg/borg3.c:912 src/borg/borg3.c:913 src/borg/borg3.c:914 src/borg/borg3.c:926 src/borg/borg3.c:927 src/borg/borg3.c:937 src/borg/borg3.c:938 src/borg/borg3.c:939 src/borg/borg3.c:940 src/borg/borg3.c:951 src/borg/borg3.c:952 src/borg/borg3.c:953 src/borg/borg3.c:966 src/borg/borg3.c:984 src/borg/borg3.c:985 src/borg/borg3.c:998 src/borg/borg3.c:1022 src/borg/borg3.c:1023 src/borg/borg3.c:1024 src/borg/borg3.c:1035 src/borg/borg3.c:1036 src/borg/borg3.c:1037 src/borg/borg3.c:1047 src/borg/borg3.c:1048 src/borg/borg3.c:1049 src/borg/borg3.c:1050 src/borg/borg3.c:1060 src/borg/borg3.c:1061 src/borg/borg3.c:1062 src/borg/borg3.c:1063 src/borg/borg3.c:1074 src/borg/borg3.c:1075 src/borg/borg3.c:1076 src/borg/borg3.c:1086 src/borg/borg3.c:1087 src/borg/borg3.c:1088 src/borg/borg3.c:1089"
"Shock Wave"	"src/borg/borg3.c:919"
"Explosion"	"src/borg/borg3.c:920"
"Cloud Kill"	"src/borg/borg3.c:921"
"Acid Ball"	"src/borg/borg3.c:922"
"Ice Storm"	"src/borg/borg3.c:923"
"Meteor Swarm"	"src/borg/borg3.c:924"
"Rift"	"src/borg/borg3.c:925"
"Door Creation"	"src/borg/borg3.c:932"
"Stair Creation"	"src/borg/borg3.c:933"
"Teleport Level"	"src/borg/borg3.c:934 src/borg/borg3.c:1032"
"Word of Recall"	"src/borg/borg3.c:935 src/borg/borg3.c:1033"
"Rune of Protection"	"src/borg/borg3.c:936"
"Heroism"	"src/borg/borg3.c:945 src/borg/borg9.c:5314"
"Berserker"	"src/borg/borg3.c:946"
"Enchant Armor"	"src/borg/borg3.c:947"
"Enchant Weapon"	"src/borg/borg3.c:948 src/borg/borg3.c:1071"
"Greater Recharging"	"src/borg/borg3.c:949"
"Elemental Brand"	"src/borg/borg3.c:950 src/borg/borg3.c:1073"
"Earthquake"	"src/borg/borg3.c:958 src/borg/borg3.c:1008"
"Bedlam"	"src/borg/borg3.c:959"
"Rend Soul"	"src/borg/borg3.c:960"
"Banishment"	"src/borg/borg3.c:961 src/borg/borg3.c:1083"
"Word of Dest"	"src/borg/borg3.c:962"
"Mass Genocide"	"src/borg/borg3.c:963"
"Chaos Strike"	"src/borg/borg3.c:964"
"Mana Storm"	"src/borg/borg3.c:965"
"Detect Evil"	"src/borg/borg3.c:977"
"Bless"	"src/borg/borg3.c:979"
"Remove Fear"	"src/borg/borg3.c:980"
"Call Light"	"src/borg/borg3.c:981"
"Slow Poison"	"src/borg/borg3.c:983"
"Scare Monster"	"src/borg/borg3.c:990"
"Portal"	"src/borg/borg3.c:991"
"Cure Serious Wounds"	"src/borg/borg3.c:992 src/borg/borg3.c:1055"
"Chant"	"src/borg/borg3.c:993"
"Sanctuary"	"src/borg/borg3.c:994"
"Remove Curse"	"src/borg/borg3.c:996"
"Resist Heat and Cold"	"src/borg/borg3.c:997"
"Neutralize Poison"	"src/borg/borg3.c:1003"
"Orb of Draining"	"src/borg/borg3.c:1004"
"Cure Critical Wounds"	"src/borg/borg3.c:1005"
"Sense Invisible"	"src/borg/borg3.c:1006"
"Protection from Evil"	"src/borg/borg3.c:1007"
"Sense Surroundings"	"src/borg/borg3.c:1009"
"Cure Mortal Wounds"	"src/borg/borg3.c:1010 src/borg/borg3.c:1056"
"Turn Undead"	"src/borg/borg3.c:1011"
"Prayer"	"src/borg/borg3.c:1016"
"Dispel Undead"	"src/borg/borg3.c:1017 src/borg/borg3.c:1081"
"Heal"	"src/borg/borg3.c:1018"
"Dispel Evil"	"src/borg/borg3.c:1019 src/borg/borg3.c:1082"
"Glyph of Warding"	"src/borg/borg3.c:1020"
"Holy Word"	"src/borg/borg3.c:1021"
"Blink"	"src/borg/borg3.c:1029"
"Alter Reality"	"src/borg/borg3.c:1034"
"Detection"	"src/borg/borg3.c:1043"
"Perception"	"src/borg/borg3.c:1044 src/files.c:795 src/files.c:800"
"Probing"	"src/borg/borg3.c:1045"
"Clairvoyance"	"src/borg/borg3.c:1046"
"Healing"	"src/borg/borg3.c:1057"
"Restoration"	"src/borg/borg3.c:1058"
"Remembrance"	"src/borg/borg3.c:1059"
"Unbarring Ways"	"src/borg/borg3.c:1068"
"Recharging"	"src/borg/borg3.c:1069"
"Dispel Curse"	"src/borg/borg3.c:1070"
"Enchant Armour"	"src/borg/borg3.c:1072"
"Word of Destruction"	"src/borg/borg3.c:1084"
"Annihilation"	"src/borg/borg3.c:1085"
"uncursed"	"src/borg/borg3.c:1199"
"Spd"	"src/borg/borg3.c:1217 src/wiz-spoil.c:557"
"Poisn"	"src/borg/borg3.c:1222"
"IFir"	"src/borg/borg3.c:1226"
"ICld"	"src/borg/borg3.c:1230"
"IAcd"	"src/borg/borg3.c:1234"
"IElc"	"src/borg/borg3.c:1238"
"Lite"	"src/borg/borg3.c:1242 src/borg/borg9.c:5108"
"Dark"	"src/borg/borg3.c:1246 src/borg/borg9.c:5112 src/z-term.c:65"
"Blnd"	"src/borg/borg3.c:1250"
"Conf"	"src/borg/borg3.c:1254"
"Sound"	"src/borg/borg3.c:1258 src/borg/borg9.c:5124 src/files.c:244 src/main-win.c:987"
"Shrd"	"src/borg/borg3.c:1262"
"Nthr"	"src/borg/borg3.c:1266"
"Nxs"	"src/borg/borg3.c:1270"
"Chaos"	"src/borg/borg3.c:1274 src/borg/borg6.c:1351 src/borg/borg9.c:5140 src/files.c:249"
"Disn"	"src/borg/borg3.c:1278"
"Actv"	"src/borg/borg3.c:1284"
"ESP"	"src/borg/borg3.c:1288 src/borg/borg4.c:9366 src/xtra3.c:661"
"HL"	"src/borg/borg3.c:1292"
"FA"	"src/borg/borg3.c:1296 src/borg/borg4.c:9201"
"SInv"	"src/borg/borg3.c:1300"
"strange"	"src/borg/borg3.c:1653 src/tables.c:245"
"# Refueling with %s."	"src/borg/borg3.c:1873"
"# Eating %s."	"src/borg/borg3.c:1903"
"# Quaffing %s."	"src/borg/borg3.c:1972"
"# Quaffing unknown potion %s."	"src/borg/borg3.c:2014"
