Original text	Translation
"(0) Enter a new action"	"(0) Новое действие"
"(1) Brief Object Info (obj-desc.spo)"	"(1) Краткая информация об объектах (obj-desc.spo)"
"(1) Display known artifacts"	"(1) Артефакты"
"1:Entrance to General Store"	"1:Вход в Главный Магазин"
"(1) Load a user pref file"	"(1) Загрузить пользовательский prf-файл"
"; 1 time in %d"	" 1/%d времени"
"(1) User Interface Options"	"(1) Интерфейс"
"(2) Append macros to a file"	"(2) Вывести макросы в файл"
"(2) Brief Artifact Info (artifact.spo)"	"(2) Краткая информация об артефактах (artifact.spo)"
"(2) Display known uniques"	"(2) Уникальные монстры"
"(2) Disturbance Options"	"(2) Беспокойство"
"2:Entrance to Armory"	"2:Вход в Магазин Доспехов"
"     %-30s is %s\n"	"     %-30s : %s\n"
"(3) Brief Monster Info (mon-desc.spo)"	"(3) Краткая информация о монстрах (mon-desc.spo)"
"%3d.%1d lb"	"%3d.%1d фнт"
"%3d.%9s  %s the %s %s, Level %d"	"%3d.%9s  %s, %s-%s, уровень %d"
"%3d.%d"	"%3d.%d фнт"
"%3d.%d lb"	"%3d.%d фнт"
"(3) Display known objects"	"(3) Предметы"
"3:Entrance to Weaponsmith"	"3:Вход в Оружейную"
"(3) Game-Play Options"	"(3) Игра"
"(3) Query a macro"	"(3) Вывести макрос"
"(4) Create a macro"	"(4) Создать макрос"
"(4) Display hall of fame"	"(4) Рекорды"
"(4) Efficiency Options"	"(4) Эффективность"
"4:Entrance to Temple"	"4:Вход в Храм"
"(4) Full Monster Info (mon-info.spo)"	"(4) Полная информация о монстрах (mon-info.spo)"
"(5) Display kill counts"	"(5) Уничтоженные существа"
"(5) Display Options"	"(5) Дисплей"
"5:Entrance to Alchemy shop"	"5:Вход в Магазин Алхимика"
"(5) Remove a macro"	"(5) Удалить макрос"
"(6) Append keymaps to a file"	"(6) Вывести карты клавиш в файл"
"(6) Birth Options"	"(6) Опции рождения"
"6:Entrance to Magic store"	"6:Вход в Магазин Магии"
"(7) Cheat Options"	"(7) Опции читов"
"7:Entrance to Black Market"	"7:Вход на Черный Рынок"
"(7) Query a keymap"	"(7) Вывести карту клавиш"
"(8) Create a keymap"	"(8) Создать карту клавиш"
"8:Entrance to your home"	"8:Вход домой"
"(9) Remove a keymap"	"(9) Удалить карту клавиш"
"A:Angel"	"A:Ангел"
"a:Ant"	"a:Муравей"
"(A) Append options to a file"	"(A) Вывести опции в файл"
" a bit"	" немного"
